标题,链接,作者,出发日期,天数,照片数,人数,玩法,费用,阅读数,点赞数,评论数
北京“步”行记,https://travel.qunar.com/youji/5130797,冬日摩天轮1,2014-03-08 出发,共2天,96张照片,三五好友,短途周末,,17.5万,537,61
夏末，带着家人来延庆放松放松心情,https://travel.qunar.com/youji/5914676,梁lsh,2015-08-22 出发,共2天,505张照片,三五好友,古镇 短途周末 夏季,人均200元,4.2万,60,10
二傻的毕旅晃荡——北上时光的碎碎念,https://travel.qunar.com/youji/6863832,the_1128th_k...,2017-05-25 出发,共6天,167张照片,闺蜜,美食,人均3000元,5731,10,2
来看有故事的老北京,https://travel.qunar.com/youji/5889756,oo雨不停oo,2014-10-01 出发,共5天,214张照片,,,,6.3万,312,24
羊年春节，暴走京城,https://travel.qunar.com/youji/6793991,娜娜959,2015-02-21 出发,共6天,266张照片,三五好友,美食,人均2500元,1.4万,78,14
大手牵小手帝都6日自由行,https://travel.qunar.com/youji/6436401,qunar用户,2016-06-04 出发,共6天,220张照片,亲子,美食,,3.4万,253,10
北京暑假10日游,https://travel.qunar.com/youji/6867063,siyu215,2017-07-10 出发,共10天,767张照片,,暑假,,8216,25,18
北京站,https://travel.qunar.com/youji/5557315,游客,2015-05-25 出发,共7天,256张照片,家庭,美食,人均3500元,7.1万,348,33
帝都家庭旅行记,https://travel.qunar.com/youji/6133189,王鋆鋆,2014-05-30 出发,共6天,263张照片,家庭,购物 美食,人均5000元,5.3万,228,19
自在密云山水间,https://travel.qunar.com/youji/6554888,babyblue3732,2016-08-10 出发,共5天,182张照片,亲子,购物 美食 古镇 自驾 短途周末,人均2500元,3.5万,108,7
我走过的北京,https://travel.qunar.com/youji/6604002,dcnd7680,2016-09-09 出发,共18天,236张照片,情侣,蜜月 购物 美食,人均15000元,7177,16,1
褪去神圣光环的北京——帝都自由行,https://travel.qunar.com/youji/5910770,Jason_x1n,2014-07-03 出发,共7天,189张照片,三五好友,美食,,6.3万,266,21
说走就走的北京行,https://travel.qunar.com/youji/5625620,lanxu000,2013-12-09 出发,共10天,357张照片,闺蜜,,人均2500元,5万,187,71
2014年4月 北京6日游行程满满,https://travel.qunar.com/youji/3180189,qunar_zhuang...,2014-04-25 出发,共7天,266张照片,,购物 美食,,31.9万,1448,84
迷迷糊糊的幸福，和爸妈一起吃喝玩乐在北京,https://travel.qunar.com/youji/6573489,杨二门,2014-05-17 出发,共4天,90张照片,家庭,购物 美食,人均4000元,1.3万,39,6
【北京】初秋 我终来赴一场帝都之约,https://travel.qunar.com/youji/7049277,我是蒋小胖,2017-10-01 出发,共9天,183张照片,三五好友,深度游 骑行 摄影 赏秋 国庆 第一次,人均4000元,2.4万,195,32
我们の北京故事，四月天我特别地想你,https://travel.qunar.com/youji/6636023,mzaifowei,2016-04-15 出发,共3天,298张照片,情侣,美食,人均3000元,2.1万,98,3
帝都之行—发现最地道的京城之旅,https://travel.qunar.com/youji/6056136,唐皮皮皮,2015-06-26 出发,共12天,215张照片,闺蜜,购物 美食,人均7040元,2.2万,96,59
走马观花游北京,https://travel.qunar.com/youji/5831619,渝帆,2014-04-09 出发,共4天,174张照片,三五好友,,人均50元,3.6万,78,15
冬日的暖阳，特色北京游~,https://travel.qunar.com/youji/6497023,暴跳的牛奶妹,2016-01-22 出发,共6天,243张照片,三五好友,美食 摄影 冬季,,2.6万,144,7
【跟着东哥到处走】京城甜品大搜罗，爱Ta就给Ta一整年的甜蜜吧,https://travel.qunar.com/youji/7086368,东哥到处走,2018-01-01 出发,共1天,215张照片,独自一人,跨年 美食 摄影,,1.2万,19,3
毕竟外地游客帝都七日游,https://travel.qunar.com/youji/5769631,Chuyunli,2015-07-30 出发,共7天,118张照片,三五好友,美食,人均3500元,5.2万,279,29
【北京】：2019，一家人，京城游学十日记,https://travel.qunar.com/youji/7563978,想想老爸,2019-08-09 出发,共10天,128张照片,亲子,深度游 自驾 夏季,人均5000元,1.1万,15,13
北京——领略皇城北京的恢弘气派,https://travel.qunar.com/youji/6578047,童话CORN,2015-01-07 出发,共8天,237张照片,,美食,,1.2万,42,7
去北方过一个年——北京,https://travel.qunar.com/youji/6005591,saki勤劳又勇...,2015-02-19 出发,共5天,122张照片,三五好友,美食,,2.5万,132,13
北京深秋文化之旅,https://travel.qunar.com/youji/6605856,Daisyligz,2016-11-03 出发,共8天,339张照片,独自一人,美食 赏秋 人文,人均4000元,5809,12,2
2016.3 北京，第一次去北方城市,https://travel.qunar.com/youji/6512158,sunpark,2016-03-19 出发,共6天,126张照片,家庭,美食 人文 第一次,人均4000元,1万,46,26
魅力北京，透过镜头读懂你,https://travel.qunar.com/youji/5974997,UC大人,2015-01-10 出发,共10天,294张照片,,美食,,2.9万,144,35
SU&TING的帝都之旅,https://travel.qunar.com/youji/5528056,sugar未央,2015-04-27 出发,共8天,161张照片,闺蜜,美食,人均2000元,5.4万,375,28
为！故都的秋！,https://travel.qunar.com/youji/7545802,辛夷辛夷,2019-11-02 出发,共3天,301张照片,闺蜜,穷游 赏枫 赏秋 第一次,人均2000元,2435,9,0
FOUR DAYS IN BJ,https://travel.qunar.com/youji/5227188,吱吱吱吱小号...,2012-12-20 出发,共4天,287张照片,,美食,,4.8万,217,18
迟日江山丽，无霾花草香,https://travel.qunar.com/youji/6539758,Miss-Isabel,2016-05-22 出发,共6天,229张照片,情侣,购物 美食 毕业游,人均2500元,1万,54,5
预备唱：我爱北京天安门。。。,https://travel.qunar.com/youji/5733192,荣嬷嬷园嬷嬷,2015-06-21 出发,共6天,236张照片,情侣,蜜月,人均5500元,2万,106,88
在帝都的艳阳里撒开了玩儿,https://travel.qunar.com/youji/6556893,舒然姑娘,2015-01-30 出发,共6天,295张照片,三五好友,人文,,9300,23,4
北京！梦回清宫，聆听皇城往事！,https://travel.qunar.com/youji/6926763,千山同往,2016-08-26 出发,共6天,191张照片,三五好友,美食 古镇 摄影 徒步 人文,人均3000元,1.2万,58,15
寒来暑往，漫步京华,https://travel.qunar.com/youji/6698298,barbiebarbie...,2016-05-02 出发,共99天,66张照片,三五好友,购物 美食 漫游 古镇 骑行 赏枫 摄影 徒步 人文,,5001,7,2
忆北京 温暖陪伴 教会成长,https://travel.qunar.com/youji/5533982,Alisa春暖花...,2013-05-04 出发,共10天,98张照片,三五好友,购物 美食 踏春 赏秋,,2.5万,104,49
小夫妻蜜月游北京,https://travel.qunar.com/youji/5330340,彩虹涓涓,2015-03-06 出发,共7天,598张照片,情侣,蜜月,人均2000元,7.1万,505,27
北京周边多次游,https://travel.qunar.com/youji/5508573,zhizhimiao,2014-11-05 出发,共8天,375张照片,,美食 赏秋,,2.8万,55,8
首都北京圆梦之旅--周末自驾（济南出发）,https://travel.qunar.com/youji/6511116,春风沉醉的夜...,2016-07-22 出发,共3天,296张照片,家庭,美食 自驾 游轮 短途周末 摄影 人文,人均800元,6271,6,40
穿梭在老北京,https://travel.qunar.com/youji/7012306,小兔的旅行日...,2018-03-24 出发,共5天,230张照片,家庭,清明 深度游 购物 美食 古镇 人文 第一次,人均2500元,1.5万,113,12
北京酣畅六日自助游,https://travel.qunar.com/youji/4744903,ultg1121,2014-11-13 出发,共6天,195张照片,,美食,,11.8万,531,43
不负春光，首都北京两日游,https://travel.qunar.com/youji/6622044,qingniaobaby...,2015-04-16 出发,共2天,105张照片,三五好友,美食,人均800元,1.6万,40,2
十一情侣游之北京,https://travel.qunar.com/youji/4656889,649214707,2014-10-06 出发,共5天,142张照片,情侣,美食 国庆,,24.3万,1220,108
探索长城之谜-响水湖长城,https://travel.qunar.com/youji/6542285,chronosddm,2016-05-15 出发,共6天,578张照片,,探险,,6144,9,5
唯愿国安——记一个人的帝都之行,https://travel.qunar.com/youji/5927231,dxww9444,2014-11-04 出发,共7天,381张照片,独自一人,美食,人均2500元,1.1万,34,10
深秋时节邂逅京都【更新中】,https://travel.qunar.com/youji/5068985,心蓝丫头2014,2014-10-24 出发,共7天,169张照片,,赏秋,,3万,123,17
北京周边游,https://travel.qunar.com/youji/5505584,zhizhimiao,2014-10-21 出发,共9天,346张照片,家庭,美食 自驾,,3.5万,58,7
用单反记录北京,https://travel.qunar.com/youji/5459257,江枫渔火JFYH,2014-11-01 出发,共9天,385张照片,,,,1.8万,71,11
我爱北京地安门——美食篇：闻香知味逍遥地,https://travel.qunar.com/youji/5947050,紫檀葫芦,2015-10-06 出发,共1天,157张照片,情侣,美食,人均200元,2.6万,109,43
初探北京6日行  关于艺术与生活的朝圣之旅,https://travel.qunar.com/youji/7398676,Jane_Jane_Ji...,2017-09-23 出发,共6天,119张照片,情侣,深度游 美食 漫游 中秋节 摄影 赏秋 人文 国庆,人均3000元,4320,18,2
"""非典型”北京——流连在皇城根儿下，迷失于胡同的深巷之中",https://travel.qunar.com/youji/6735411,菁卷菜,2016-02-09 出发,共5天,184张照片,情侣,美食,人均2500元,6955,15,7
找寻教科书插图的足迹——首都北京初体验（双人五日自由行）,https://travel.qunar.com/youji/6923945,LukManMan,2017-06-07 出发,共5天,174张照片,情侣,美食 摄影 人文 第一次,人均4500元,6759,59,5
我的帝都情怀——纪念七月进京行,https://travel.qunar.com/youji/6600583,yzom4743,2016-07-23 出发,共6天,98张照片,独自一人,购物 美食,人均2000元,7971,27,0
帝都名胜古迹四日游,https://travel.qunar.com/youji/6623359,wimple,2015-04-04 出发,共4天,266张照片,三五好友,购物 美食 漫游 摄影 人文,人均1500元,1.4万,49,4
穿越千年只为遇见你——在北京,https://travel.qunar.com/youji/5395781,Ivy-China,2014-09-02 出发,共9天,47张照片,独自一人,购物 美食 探险 第一次,人均1524元,2.5万,158,41
从深圳到北京--7日亲子游京城（寒假）,https://travel.qunar.com/youji/6208758,stomlj,2016-01-15 出发,共7天,266张照片,亲子,美食 寒假,人均2500元,1.8万,109,9
深冬游北京老城,https://travel.qunar.com/youji/5315358,微笑树01,2012-12-18 出发,共8天,73张照片,,美食 冬季,,1.7万,106,15
北京欢乐行,https://travel.qunar.com/youji/5242130,花花花花花小...,2012-11-15 出发,共4天,116张照片,,美食,,3.3万,116,12
【北京文艺地图】❤ 带你探寻小众又好玩的地方（五次游北京）,https://travel.qunar.com/youji/6938092,tobee1013,2017-10-04 出发,共5天,238张照片,独自一人,购物 美食 探险,人均3000元,5.2万,476,59
帝都北京5日亲子自由行,https://travel.qunar.com/youji/6448217,amhl6030,2015-08-04 出发,共5天,94张照片,亲子,美食,人均1839元,1.9万,46,22
抓住夏天的尾巴 —— 二探云峰山面面观,https://travel.qunar.com/youji/6903418,babyblue3732,2017-08-18 出发,共2天,80张照片,家庭,美食 自驾 夏季 登山,人均400元,3440,6,3
走走走游游游之帝都看展篇,https://travel.qunar.com/youji/6450804,乌鸦的师傅,2016-06-09 出发,共2天,44张照片,闺蜜,购物 美食 短途周末,人均3500元,8711,32,1
周末去哪儿？陪孩子到这些地方看一看！盘点北京那些最值得带孩子去的博物馆,https://travel.qunar.com/youji/6997304,驼妞,2018-02-24 出发,共1天,76张照片,亲子,短途周末 人文,,1.4万,36,3
京城 京剧 京味儿,https://travel.qunar.com/youji/6791388,onlylusiay,2016-11-30 出发,共7天,189张照片,三五好友,人文,,1.5万,73,40
静静品味繁闹的帝都,https://travel.qunar.com/youji/6562675,请叫我辣条,2013-11-05 出发,共5天,176张照片,三五好友,美食,人均900元,6639,19,3
拖家带口游之六天五晚圆老人的北京梦,https://travel.qunar.com/youji/6984902,杂志狂人,2017-07-12 出发,共6天,199张照片,家庭,,人均3500元,1.1万,53,4
天凉好个秋 延庆迹忆,https://travel.qunar.com/youji/6214616,驴来驴去,2015-10-01 出发,共5天,112张照片,家庭,购物 美食 短途周末,人均1200元,7545,5,0
一个人的北京自由行,https://travel.qunar.com/youji/5941955,不爱豆角,2015-09-15 出发,共4天,162张照片,独自一人,购物 美食 徒步 人文,人均1000元,1.8万,107,48
首都北京单人5日游,https://travel.qunar.com/youji/7529719,rpda3574,2019-09-08 出发,共5天,46张照片,独自一人,深度游 美食 第一次,人均1600元,4.1万,21,2
春节遇见紫禁城,https://travel.qunar.com/youji/6891877,杯子2017,2017-01-29 出发,共6天,33张照片,亲子,人文 春节,,8529,33,23
我期望碰见一个如你一般的爱人,https://travel.qunar.com/youji/5657097,dudnddd,2013-12-28 出发,共3天,246张照片,情侣,购物 美食 短途周末,,1.1万,34,36
京城5日游,https://travel.qunar.com/youji/7541683,vjiq2647,2019-10-15 出发,共5天,305张照片,独自一人,第一次,,7276,17,5
拖家带口进京啦！,https://travel.qunar.com/youji/6613042,小豌豆哒妈妈,2016-10-22 出发,共4天,68张照片,亲子,人文,人均2000元,2.2万,86,1
2015年冬，闲逛大栅栏,https://travel.qunar.com/youji/6745919,梁lsh,2015-12-20 出发,共1天,93张照片,,美食,,5137,13,3
万万没想到的帝都之旅,https://travel.qunar.com/youji/7464614,pinkvalent,2019-03-22 出发,共2天,96张照片,亲子,美食 短途周末 踏春 摄影 人文,人均600元,3124,9,0
两大两小的北京悠闲自由行,https://travel.qunar.com/youji/5993134,gbws1146,2014-07-23 出发,共13天,288张照片,亲子,,人均2500元,1.4万,43,12
小逛北京三日游,https://travel.qunar.com/youji/6416980,媛媛宝贝的乐...,2016-04-29 出发,共3天,277张照片,家庭,美食 海滨海岛,人均1700元,10.1万,414,55
日出枫叶红胜火—— 坡峰岭,https://travel.qunar.com/youji/6038676,梁lsh,2015-10-31 出发,共1天,237张照片,情侣,美食 赏枫 短途周末 登山,,9038,6,5
带着妈妈游帝都,https://travel.qunar.com/youji/6035183,zobk5011,2015-11-07 出发,共9天,93张照片,亲子,古镇,人均4500元,5809,21,46
周末不远游，在这里与家人共度温馨假期,https://travel.qunar.com/youji/7405616,牵着小手去旅...,2018-10-04 出发,共2天,239张照片,家庭,美食 温泉 自驾 短途周末 摄影,人均300元,7.5万,45,12
妇女团上京游荡去了,https://travel.qunar.com/youji/6476827,Echo琹,2014-04-30 出发,共6天,75张照片,,美食,,3557,2,4
人民大会堂演出纪实,https://travel.qunar.com/youji/6660535,江枫渔火JFYH,2016-09-15 出发,共1天,307张照片,,第一次,,6705,0,0
北京，北京,https://travel.qunar.com/youji/6143394,猫咪老师和哈...,2015-12-19 出发,共6天,211张照片,闺蜜,美食 圣诞,人均3000元,6883,26,0
生活在北京,https://travel.qunar.com/youji/4997183,小小小珊瑚,2012-07-01 出发,共4天,205张照片,家庭,短途周末,,5.7万,371,41
【白天不懂夜的美】---圆梦之旅之鸟巢夜,https://travel.qunar.com/youji/6439845,dwzp0420,2016-06-11 出发,共2天,27张照片,独自一人,毕业游,人均300元,6137,8,10
恋上古北水镇，从白走到黑,https://travel.qunar.com/youji/6660772,江枫渔火JFYH,2016-08-19 出发,共2天,174张照片,亲子,美食,人均400元,3.9万,111,7
2015北京行记（天马行空梦无际，无限精彩在未期）——漫行者余笑人,https://travel.qunar.com/youji/6794960,漫行者余笑人,2015-01-05 出发,共6天,60张照片,独自一人,环游 穷游 美食 漫游 踏春 摄影 徒步 人文,人均1000元,3554,1,0
我与父亲的第一次旅行,https://travel.qunar.com/youji/5907497,oyxlan,2015-09-25 出发,共7天,76张照片,家庭,第一次,人均3000元,1万,19,28
Th1s is BEIJING  玩味中轴线，皇城根下的老北京,https://travel.qunar.com/youji/6953367,in老板殷倩,2017-09-23 出发,共2天,278张照片,三五好友,漫游 骑行,人均1000元,5370,6,2
晴好冬日探险大羊山,https://travel.qunar.com/youji/6544200,chronosddm,2015-12-22 出发,共2天,183张照片,,冬季 探险,,3159,3,3
带着爸妈去旅行北京7日游,https://travel.qunar.com/youji/6807263,丸子同学爱旅...,2017-03-06 出发,共7天,148张照片,家庭,,人均3000元,3.2万,308,22
#秋季游北京#来自李甜甜的北京五日游,https://travel.qunar.com/youji/7555406,面茶小甜甜,2019-10-27 出发,共6天,334张照片,独自一人,赏秋 第一次,人均3500元,7649,34,5
金秋行走在北京,https://travel.qunar.com/youji/6943027,emgf8698,2017-10-29 出发,共7天,184张照片,家庭,赏秋 人文,人均3500元,3452,11,4
北京呀路古花仙子,https://travel.qunar.com/youji/6394365,ngxx0021,2016-05-07 出发,共1天,144张照片,亲子,自驾,,2.1万,17,17
帝都5日自由行,https://travel.qunar.com/youji/4779008,feifeifeifei...,2015-02-23 出发,共5天,40张照片,,美食,人均4000元,1.8万,110,7
圆梦北京—2019休假记（上）,https://travel.qunar.com/youji/7535770,随心而动,2019-07-27 出发,共5天,146张照片,家庭,暑假 第一次,人均3500元,4263,18,0
找寻记忆中的老北京,https://travel.qunar.com/youji/5893571,Cris紀行_茜...,2015-02-20 出发,共6天,201张照片,独自一人,,,4.6万,76,12
北京市内游,https://travel.qunar.com/youji/5448545,Turbo23,2015-04-22 出发,共8天,519张照片,,,,2.4万,40,12
行走在历史的老北京,https://travel.qunar.com/youji/6614950,中山狼,2016-08-04 出发,共2天,178张照片,独自一人,自驾 人文,人均800元,7899,15,1
游遍南北西东不如去逛北京,https://travel.qunar.com/youji/6612541,滢萱,2014-08-25 出发,共6天,102张照片,三五好友,美食,,7180,13,0
#生活就要这样拍！#北京【门头沟】京西小九寨与燕京小三峡,https://travel.qunar.com/youji/7596282,步青,2020-05-24 出发,共1天,153张照片,三五好友,深度游 短途周末 摄影 夏季,人均120元,5389,17,1
帝都的雕梁画栋 宫墙朱户,https://travel.qunar.com/youji/6582596,工藤新一君,2016-02-09 出发,共4天,126张照片,三五好友,美食,人均1600元,1.1万,28,7
冬日北京游实用攻略,https://travel.qunar.com/youji/6991892,hello-apple,2018-01-27 出发,共8天,331张照片,亲子,冬季 徒步 人文,人均4000元,1.8万,174,4
南方妹子游帝都,https://travel.qunar.com/youji/6534162,珠菇娘,2016-03-26 出发,共9天,205张照片,独自一人,购物 美食 人文,人均5000元,6586,28,9
文化创新聚集地——北京小巷,https://travel.qunar.com/youji/6033593,偶爱嘉年华,2015-11-07 出发,共1天,227张照片,,短途周末,,1.3万,21,6
北京全家老小6日游,https://travel.qunar.com/youji/7410476,flyywail,2018-10-08 出发,共6天,135张照片,家庭,,人均3000元,4128,7,2
国内世界遗产大集合，后半生要去的地方都在这里了，还不赶紧收藏？,https://travel.qunar.com/youji/7066392,Qunar攻略小...,2018-07-16 出发,共3天,58张照片,,,,6634,8,0
米娅游中国——2018寒假北京之旅（亲子游）,https://travel.qunar.com/youji/7601926,上帝是個女孩,2018-02-01 出发,共5天,230张照片,亲子,穷游 美食 寒假 摄影,人均3000元,6270,6,0
残破到心，壮美到眼——勇攀箭扣长城！,https://travel.qunar.com/youji/6483979,孙疯人,2016-07-08 出发,共2天,131张照片,三五好友,短途周末,人均200元,1.1万,28,27
不忘初心之旅——颐和园、天坛公园、故宫、北海公园、长城。,https://travel.qunar.com/youji/7502031,一人一包一票,2019-04-20 出发,共7天,97张照片,家庭,清明 穷游 摄影 第一次,人均3988元,3092,20,4
短途行，在帝都的秋天里,https://travel.qunar.com/youji/6576847,三毛小姐_你...,2016-09-23 出发,共3天,85张照片,独自一人,美食 短途周末 徒步 赏秋,,1.9万,65,5
1日游,https://travel.qunar.com/youji/7623722,爱瑜传说,2020-09-30 出发,共1天,314张照片,,,人均30元,19.4万,2,0
90后女孩的两天跟团游,https://travel.qunar.com/youji/6007629,在水一荒,2015-11-02 出发,共2天,85张照片,闺蜜,美食,人均600元,1.1万,39,18
北京独自行（20141211）,https://travel.qunar.com/youji/4994299,yangmeisunny,2014-12-10 出发,共7天,218张照片,独自一人,,人均2500元,2.4万,79,21
来世界公园走遍全世界,https://travel.qunar.com/youji/6497096,江枫渔火JFYH,2015-11-29 出发,共1天,175张照片,,,,6832,6,4
为自己送上一份生日礼物——帝都（附地铁交通图）,https://travel.qunar.com/youji/6722200,碎碎洛,2017-02-03 出发,共5天,285张照片,闺蜜,购物,人均3500元,5050,23,0
3.7女生节| 帝都妹子，和闺蜜约哪里？赏花、温泉、购物，用这些方式欢度女生节,https://travel.qunar.com/youji/6997169,JX小星星,2018-02-24 出发,共1天,88张照片,闺蜜,购物 漫游 温泉 赏樱 短途周末 踏春,人均1000元,4412,13,0
北京【延庆】北京小漓江与神密穴居文化,https://travel.qunar.com/youji/7595259,步青,2020-05-18 出发,共1天,137张照片,独自一人,自驾 短途周末 摄影 夏季,人均360元,8.4万,25,0
重走东北大环线，这一次让冬天来得更烈！,https://travel.qunar.com/youji/6989941,YIYI笔记,2018-02-06 出发,共3天,154张照片,,美食 滑雪 摄影 徒步 冬季,,5615,25,0
我曾遇见你，在北京繁花落寞的时光里,https://travel.qunar.com/youji/5684446,LauRanger,2015-08-27 出发,共2天,134张照片,独自一人,美食 短途周末,人均500元,1.3万,70,27
潇洒走一回，北京~北京,https://travel.qunar.com/youji/5724589,lwhb9602,2015-07-15 出发,共8天,104张照片,独自一人,美食,人均2200元,1.8万,103,40
#浪不完的夏天# 京行七月,https://travel.qunar.com/youji/6496788,wqy的小宇宙,2016-07-06 出发,共7天,47张照片,三五好友,购物 美食 毕业游 夏季,人均1500元,9915,28,37
神往天都,https://travel.qunar.com/youji/6601199,qkiy4482,2016-10-14 出发,共5天,149张照片,家庭,美食 人文,人均3000元,3713,11,1
暑假8日，慢游北京,https://travel.qunar.com/youji/6876881,朱朱豆豆,2017-07-22 出发,共8天,279张照片,家庭,美食 暑假,人均40000元,4466,12,7
身体和灵魂总要有一个在路上—书香满帝都,https://travel.qunar.com/youji/6603994,三毛小姐_你...,2016-10-21 出发,共1天,106张照片,独自一人,短途周末 徒步,,6325,5,0
【王小爱1540元精品游帝都】皇城脚下京味春节，5天4夜圆个首都梦,https://travel.qunar.com/youji/7017998,wangyanting1...,2017-02-16 出发,共5天,142张照片,独自一人,踏春 春节,,3710,16,0
一个人11天的北京悠闲之旅,https://travel.qunar.com/youji/4724537,慧Kerry,2014-11-03 出发,共11天,71张照片,独自一人,,人均3700元,4.6万,277,44
1日游,https://travel.qunar.com/youji/7669271,爱瑜传说,2021-02-17 出发,共15天,410张照片,,,,498,25,2
诗和田野不在远方，北京家门口感受恬淡生活,https://travel.qunar.com/youji/7053352,YC_先森,2018-06-20 出发,共3天,305张照片,,,人均500元,7329,14,3
你们陪我去看海,https://travel.qunar.com/youji/7509627,wtu518,2019-07-29 出发,共1天,123张照片,,夏季,,554,3,0
带上父母去北京,https://travel.qunar.com/youji/7019729,cchcw,2018-04-09 出发,共4天,56张照片,家庭,清明 美食 摄影,人均2500元,1万,50,20
了解北京,https://travel.qunar.com/youji/5543329,没着落,2013-03-30 出发,共10天,330张照片,独自一人,自驾,,1.4万,20,8
#春之女神#莫负现时春光好,https://travel.qunar.com/youji/6334453,大脸猫珺,2016-03-27 出发,共2天,143张照片,三五好友,美食 短途周末,人均200元,4846,20,19
【心•旅生活】一盏灯，一座城 ，找一人,https://travel.qunar.com/youji/6619897,行走的迈克尔,2016-09-29 出发,共3天,165张照片,独自一人,古镇 摄影 人文,人均3000元,7694,15,1
